Pair_a,ms_ssim1,ms_ssim2,psnr_hvs[0],psnr_hvs[1],vif,iw_ssim,fsim,nlpd,lpips_yuv,lpips_y,dists_yuv,dists_y,vamf
ref_2_Img6,0.93693487,0.936129928,21.88981503,19.91839448,0.646133661,0.877108753,0.888100207,0.275856882,0.430940747,0.468325734,0.200049341,0.227868795,16.367255
ref_2_Img7,0.704125922,0.671300232,15.40496536,14.36049344,0.434521049,0.422158986,0.675540924,0.621358931,0.696601748,0.716173708,0.440448284,0.462592661,0
ref_2_Img8,1,1,100000,100000,0.999999344,1.000000119,1,0,0,0,5.96E-08,-1.19E-07,97.42778
ref_2_Img9,0.997897419,0.997873187,55.34110131,44.48704289,0.941523075,0.998079062,0.998607874,0.042502061,0.057621665,0.05232079,0.004006565,0.003383517,96.872262
ref_3_Img1,1,1,100000,100000,0.999999404,0.99999994,1,0,0,0,0,-1.19E-07,97.428066
ref_3_Img10,0.922293377,0.920617163,28.45497768,23.90265056,0.285512865,0.883283496,0.900585353,0.265584081,0.508419752,0.50304985,0.216482639,0.213307202,59.74071
ref_3_Img11,0.991001078,0.99142313,50.49767364,37.41145642,0.776250541,0.99177891,0.994265914,0.09521877,0.199849278,0.192509696,0.019632876,0.012579262,93.552348
ref_3_Img12,0.983585793,0.983350515,45.51144345,33.21774248,0.61573559,0.982512236,0.986131907,0.129407927,0.289626598,0.276605338,0.047893703,0.031499386,89.157026
ref_3_Img13,0.958089003,0.951390862,36.22737612,27.43264431,0.371322602,0.944004059,0.951068103,0.207563281,0.474460542,0.457974762,0.134089231,0.110764325,74.963279
ref_3_Img14,0.967012338,0.966802239,42.10555712,31.51331212,0.523212075,0.970051229,0.980436862,0.168760121,0.246260732,0.285658747,0.06127286,0.09732312,91.934195
ref_3_Img15,0.682176682,0.680967629,23.00512448,17.31405474,0.092467897,0.698027015,0.778272212,0.581818044,0.678248227,0.712650537,0.300938129,0.330514193,56.254142
ref_3_Img16,1,1,100000,100000,0.999999404,0.99999994,1,0,0,0,0,-1.19E-07,97.428066
ref_3_Img2,0.993124607,0.993043244,39.93813633,32.35263145,0.802953362,0.992877543,0.991441905,0.083838277,0.131110355,0.134714216,0.01200068,0.014529228,91.546223
ref_3_Img3,0.997013468,0.996974528,49.96315654,41.51947465,0.938514471,0.058112711,0.997420132,0.997971833,0.089119986,0.090080872,0.006393015,0.005305469,95.298648
ref_3_Img4,0.861358725,0.859841526,21.36220604,19.1779244,0.27081728,0.745303392,0.81060183,0.327350348,0.564372182,0.571382046,0.283355236,0.306834817,16.660214
ref_3_Img5,0.983786262,0.983993471,33.22631017,27.49399142,0.868603349,0.97917825,0.973066628,0.135998547,0.206892684,0.224898294,0.079404891,0.087582469,64.253105
ref_3_Img6,0.996671223,0.996715367,43.81860541,34.59844488,0.978772402,0.996335626,0.994540691,0.062791772,0.062604114,0.069026381,0.019270718,0.023271501,83.028991
ref_3_Img7,0.963283454,0.963550389,27.79469571,23.88466419,0.777387559,0.945495188,0.937560201,0.203219965,0.314140975,0.336751789,0.136736214,0.148774505,44.062675
ref_3_Img8,1,1,100000,100000,0.999999404,0.99999994,1,0,0,0,0,-1.19E-07,97.428066
ref_3_Img9,0.974759737,0.974604607,39.10355323,30.53586677,0.550651312,0.96979022,0.972957134,0.149922118,0.337846488,0.331928819,0.104473233,0.097621322,87.124997
ref_4_Img1,1,1,100000,100000,0.999999225,1,1,0,0,0,0,-1.19E-07,97.428347
ref_4_Img10,0.973527318,0.973311424,36.21267598,29.62266497,0.531051219,0.965504408,0.972851634,0.161653474,0.333610892,0.321251303,0.102933466,0.099120796,85.844209
ref_4_Img11,0.997302916,0.997470558,56.00222678,44.03512687,0.938817024,0.997427702,0.998701811,0.058103163,0.082682334,0.076203316,0.009451866,0.004314125,95.92179
ref_4_Img12,0.941040204,0.92959857,29.896648,24.81400183,0.295704335,0.916336298,0.931017518,0.25933674,0.558145761,0.525012612,0.209994972,0.18609643,63.253123
ref_4_Img13,0.998051476,0.998088062,56.76075433,45.38648145,0.955554307,0.998124599,0.999024391,0.049631912,0.060872711,0.05438251,0.006233573,0.003165483,96.205896
ref_4_Img14,0.680493335,0.674363911,19.41698719,15.86873456,0.076765187,0.68787533,0.773941696,0.619938731,0.700310469,0.719170511,0.369923711,0.397293806,45.713813
ref_4_Img15,0.947417436,0.94693917,35.2846026,28.17783362,0.409499407,0.949860871,0.966709256,0.228098348,0.357600302,0.376024455,0.117104948,0.156504989,87.397748
